Product Name,29113425
Station Name,EOL
Serial Number,!203030025!_V29113441
DateTime,20210401_103804
Total Test Time,41.200000
Result,Fail
TestItem,MeasureValue,Unit,LowLimit,HiLimit,Result,CycleTime
Sheung_shui,,,,,Passed,0.743
Switch ON CAN_12,,,,,Passed,0.146
Switch On CAN_34,,,,,Passed,0.134
Voltage=12.5V,,,,,Passed,0.154
Current=5A,,,,,Passed,0.179
12V_DC_Source,,,,,Passed,0.151
Wait,,,,,Passed,1.021
Switch ON Current measure,,,,,Passed,0.140
Switch OFF 12V_9,,,,,Passed,0.136
Switch On 12V_9,,,,,Passed,0.133
Wait,,,,,Passed,0.516
Switch OFF Current measure,,,,,Passed,0.142
Wait,,,,,Passed,0.517
Wake up,,,,,Passed,1.069
Wait,,,,,Passed,0.523
Switch OFF CAN_34,,,,,Passed,0.190
Wait,,,,,Passed,5.017
Standby Power Current Measure,0.573,,0.6,0.9,Failed,0.160
