Product Name,29113425
Station Name,EOL
Serial Number,!202960153!_V29113441
DateTime,20210401_162204
Total Test Time,48.800000
Result,Fail
TestItem,MeasureValue,Unit,LowLimit,HiLimit,Result,CycleTime
Sheung_shui,,,,,Passed,0.785
Switch ON CAN_12,,,,,Passed,0.148
Switch On CAN_34,,,,,Passed,0.134
Voltage=12.5V,,,,,Passed,0.144
Current=5A,,,,,Passed,0.140
12V_DC_Source,,,,,Passed,0.109
Wait,,,,,Passed,1.020
Switch ON Current measure,,,,,Passed,0.135
Switch OFF 12V_9,,,,,Passed,0.133
Switch On 12V_9,,,,,Passed,0.133
Wait,,,,,Passed,0.518
Switch OFF Current measure,,,,,Passed,0.134
Wait,,,,,Passed,0.518
Wake up,,,,,Passed,1.072
Wait,,,,,Passed,0.525
Switch OFF CAN_34,,,,,Passed,0.142
Wait,,,,,Passed,5.018
Standby Power Current Measure,0.739,,0.6,0.9,Passed,0.166
Connect DUT,,,,,Passed,4.723
Wait,,,,,Passed,0.517
Read MAIN_MSGu8InverterHVILStatus,1,,0,0,Failed,0.066
