Product Name,29113425
Station Name,EOL
Serial Number,!203290040!_V29113441
DateTime,20210330_190159
Total Test Time,61.600000
Result,Fail
TestItem,MeasureValue,Unit,LowLimit,HiLimit,Result,CycleTime
Sheung_shui,,,,,Passed,0.765
Switch ON CAN_12,,,,,Passed,0.253
Switch On CAN_34,,,,,Passed,0.130
Voltage=12.5V,,,,,Passed,0.141
Current=5A,,,,,Passed,0.140
12V_DC_Source,,,,,Passed,0.116
Wait,,,,,Passed,1.018
Switch ON Current measure,,,,,Passed,0.182
Switch OFF 12V_9,,,,,Passed,0.162
Switch On 12V_9,,,,,Passed,0.129
Wait,,,,,Passed,0.517
Switch OFF Current measure,,,,,Passed,0.129
Wait,,,,,Passed,0.516
Wake up,,,,,Passed,1.081
Wait,,,,,Passed,0.518
Switch OFF CAN_34,,,,,Passed,0.144
Wait,,,,,Passed,5.016
Standby Power Current Measure,1.0860,,0.6,0.9,Failed,0.173
