Product Name,29113425
Station Name,EOL
Serial Number,!210060205!_V29113441
DateTime,20210331_114627
Total Test Time,56.400000
Result,Fail
TestItem,MeasureValue,Unit,LowLimit,HiLimit,Result,CycleTime
Sheung_shui,,,,,Passed,0.757
Switch ON CAN_12,,,,,Passed,0.139
Switch On CAN_34,,,,,Passed,0.130
Voltage=12.5V,,,,,Passed,0.139
Current=5A,,,,,Passed,0.103
12V_DC_Source,,,,,Passed,0.115
Wait,,,,,Passed,1.018
Switch ON Current measure,,,,,Passed,0.208
Switch OFF 12V_9,,,,,Passed,0.131
Switch On 12V_9,,,,,Passed,0.129
Wait,,,,,Passed,0.516
Switch OFF Current measure,,,,,Passed,0.162
Wait,,,,,Passed,0.516
Wake up,,,,,Passed,1.071
Wait,,,,,Passed,0.518
Switch OFF CAN_34,,,,,Passed,0.142
Wait,,,,,Passed,5.016
Standby Power Current Measure,0.696,,0.6,0.9,Passed,0.157
Connect DUT,,,,,Passed,4.774
Wait,,,,,Passed,0.516
Read MAIN_MSGu8InverterHVILStatus,0,,0,0,Passed,0.023
Switch On 14,,,,,Passed,0.132
Wait,,,,,Passed,0.516
Switch OFF CAN_43,,,,,Passed,0.133
Switch On 12V_10,,,,,Passed,0.130
Switch On 12V_20,,,,,Passed,0.131
EnvironmentPath,,,,,Passed,1.287
Write MAIN_VSIBenchOnDataTreatmentC=1 ,,,,,Passed,0.169
FPGA version,00000000,,0d180a03,,Failed,0.024
