Product Name,29113425
Station Name,EOL
Serial Number,!192370075!_V29113441
DateTime,20210412_092400
Total Test Time,136.000000
Result,Fail
TestItem,MeasureValue,Unit,LowLimit,HiLimit,Result,CycleTime
Sheung_shui,,,,,Passed,0.740
Switch ON CAN_12,,,,,Passed,0.131
Switch On CAN_34,,,,,Passed,0.130
Voltage=12.5V,,,,,Passed,0.139
Current=5A,,,,,Passed,0.118
12V_DC_Source,,,,,Passed,0.097
Wait,,,,,Passed,1.018
Switch ON Current measure,,,,,Passed,0.133
Switch OFF 12V_9,,,,,Passed,0.130
Switch On 12V_9,,,,,Passed,0.132
Wait,,,,,Passed,0.516
Switch OFF Current measure,,,,,Passed,0.160
Wait,,,,,Passed,0.516
Wake up,,,,,Passed,1.088
Wait,,,,,Passed,0.530
Switch OFF CAN_34,,,,,Passed,0.130
Wait,,,,,Passed,5.017
Standby Power Current Measure,0.739,,0.6,0.9,Passed,0.158
Connect DUT,,,,,Passed,4.791
Wait,,,,,Passed,0.516
Read MAIN_MSGu8InverterHVILStatus,0,,0,0,Passed,0.064
Switch On 14,,,,,Passed,0.133
Wait,,,,,Passed,0.516
Switch OFF CAN_43,,,,,Passed,0.132
Switch On 12V_10,,,,,Passed,0.132
Switch On 12V_20,,,,,Passed,0.132
EnvironmentPath,,,,,Passed,0.987
Write MAIN_VSIBenchOnDataTreatmentC=1 ,,,,,Passed,0.213
FPGA version,00000000,,0d180a03,,Failed,0.030
