Product Name,29113425
Station Name,EOL
Serial Number,!202830069!_V29113441
DateTime,20210412_152846
Total Test Time,99.400000
Result,Fail
TestItem,MeasureValue,Unit,LowLimit,HiLimit,Result,CycleTime
Sheung_shui,,,,,Passed,0.746
Switch ON CAN_12,,,,,Passed,0.137
Switch On CAN_34,,,,,Passed,0.133
Voltage=12.5V,,,,,Passed,0.164
Current=5A,,,,,Passed,0.109
12V_DC_Source,,,,,Passed,0.114
Wait,,,,,Passed,1.030
Switch ON Current measure,,,,,Passed,0.137
Switch OFF 12V_9,,,,,Passed,0.134
Switch On 12V_9,,,,,Passed,0.133
Wait,,,,,Passed,0.518
Switch OFF Current measure,,,,,Passed,0.140
Wait,,,,,Passed,0.517
Wake up,,,,,Passed,1.044
Wait,,,,,Passed,0.519
Switch OFF CAN_34,,,,,Passed,0.137
Wait,,,,,Passed,5.017
Standby Power Current Measure,0.618,,0.6,0.9,Passed,0.176
Connect DUT,,,,,Passed,3.399
Wait,,,,,Passed,0.517
Read MAIN_MSGu8InverterHVILStatus,0,,0,0,Passed,9.182
Switch On 14,,,,,Passed,0.136
Wait,,,,,Passed,0.517
Switch OFF CAN_43,,,,,Passed,0.135
Switch On 12V_10,,,,,Passed,0.132
Switch On 12V_20,,,,,Passed,0.136
EnvironmentPath,,,,,Passed,0.467
Write MAIN_VSIBenchOnDataTreatmentC=1 ,,,,,Passed,0.160
FPGA version,00000000,,0d180a03,,Failed,0.028
